"","binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y"
"360","Dendrocygna_viduata",27.95737257,"omnivore",674,15,12
"361","Dendrocygna_autumnalis",32.67854274,"plants",826.5,8.2,8.2
"362","Dendrocygna_guttata",26.89150654,"omnivore",800,NA,NA
"363","Dendrocygna_arborea",30.12377539,"omnivore",1150,NA,NA
"364","Dendrocygna_bicolor",29.73434549,"plants",743,11.16666667,6.5
"365","Dendrocygna_eytoni",37.54529371,"plants",792,NA,NA
"366","Dendrocygna_arcuata",30.90337827,"plants",776.6666667,NA,NA
"367","Dendrocygna_javanica",32.89585873,"plants",525,NA,NA
"368","Thalassornis_leuconotus",35.05672706,"seeds",707.5,NA,NA
"369","Cereopsis_novaehollandiae",33.45270592,"plants",3770,28.1,28.1
"370","Anser_cygnoides",46.08059494,"plants",3475,31,31
"371","Anser_fabalis",50.09054037,"plants",2933,25.6,23
"372","Anser_serrirostris",50.2950717,NA,2933,25.6,23
"373","Anser_brachyrhynchus",49.31123753,"plants",2707.5,40.91666667,25.58333333
"374","Anser_anser",48.10771343,"plants",3308.5,31,26
"375","Anser_albifrons",52.57116138,"plants",2387.5,47,25.25
"376","Anser_erythropus",53.07865242,"plants",1779.25,14.75,14.75
"377","Anser_indicus",50.28689089,"plants",2413.75,NA,NA
"378","Chen_caerulescens",52.48787235,"plants",2630.75,27.5,26.59166667
"379","Chen_rossii",54.40703136,"plants",1597.5,22.5,21.5
"380","Chen_canagica",49.42133287,"plants",2718,12,9
"381","Branta_canadensis",49.37002149,"plants",3984.5,42,27.41666667
"382","Branta_hutchinsii",44.57705691,"plants",3661.666667,42,25.85833333
"383","Branta_sandvicensis",40.35980074,"plants",2090,42,42
"384","Branta_bernicla",52.19509015,"plants",1347.25,28.83333333,23.8
"385","Branta_leucopsis",50.58979357,"plants",1708.5,28.16666667,26.9
"386","Branta_ruficollis",53.2164142,"plants",1242,NA,NA
"387","Coscoroba_coscoroba",42.85241996,"omnivore",4050,NA,NA
"388","Cygnus_atratus",44.91228633,"plants",5656,40,35
"389","Cygnus_melancoryphus",41.74426682,"plants",4275,30,20
"390","Cygnus_olor",41.91515381,"plants",10230,70,27.6915
